name,categories,estimated_duration,sigma,visit_duration_sim
Santa Barbara Zoo,"Zoos, Event Planning & Services, Venues & Event Spaces, Active Life",125.0,15.0,145.20985985992917
Sustainable Wine Tours,"Wine Tours, Hotels & Travel, Tours, Transportation, Wineries, Limos, Food, Arts & Entertainment",126.66666666666667,13.333333333333334,110.01199718615415
Mission Santa Barbara,"Churches, Arts & Entertainment, Museums, Religious Organizations, Landmarks & Historical Buildings, Public Services & Government",90.0,10.0,93.08912720675343
Captain Jack's Tours & Events,"Active Life, Wineries, Tours, Horseback Riding, Arts & Entertainment, Food, Hotels & Travel, Event Planning & Services, Wine Tours, Rafting/Kayaking",126.66666666666667,13.333333333333334,114.2216514432719
Stearns Wharf,"Public Services & Government, Landmarks & Historical Buildings, Local Flavor, Restaurants, Tours, Shopping, Shopping Centers, Seafood, Hotels & Travel, Boat Tours",62.5,7.5,48.71032479722054
Celebration Cruises,"Boating, Bars, Hotels & Travel, Boat Charters, Whale Watching Tours, Tours, Event Planning & Services, Nightlife, Active Life",126.66666666666667,13.333333333333334,140.4449311950946
Santa Barbara Botanic Garden,"Shopping, Museums, Arts & Entertainment, Home & Garden, Botanical Gardens, Nurseries & Gardening",90.0,10.0,85.88006436673734
Arroyo Burro Beach,"Parks, Beaches, Active Life",90.0,10.0,85.22074141684371
Santa Barbara County Courthouse,"Courthouses, Active Life, Event Planning & Services, Landmarks & Historical Buildings, Public Services & Government, Parks, Venues & Event Spaces",90.0,10.0,97.36014444102372
SB Buggie,"Tours, Motorcycle Rental, Scooter Rentals, Kids Activities, Car Rental, Bike Rentals, Hotels & Travel, Active Life",126.66666666666667,13.333333333333334,119.35409335222863
Santa Barbara Art Glass,"Event Planning & Services, Art Galleries, Education, Arts & Crafts, Arts & Entertainment, Tours, Kids Activities, Hotels & Travel, Party & Event Planning, Active Life, Art Tours, Art Schools, Art Classes, Hot Tub & Pool, Specialty Schools, Home Decor, Home & Garden, Glass Blowing, Shopping",90.0,10.0,98.28082144546629
Santa Barbara Adventure Company,"Tours, Boating, Hotels & Travel, Rafting/Kayaking, Parks, Travel Services, Active Life",90.0,10.0,82.7720130135502
DeeTours of Santa Barbara,"Limos, Transportation, Arts & Entertainment, Hotels & Travel, Local Flavor, Food, Wine Tours, Wineries, Tours",126.66666666666667,13.333333333333334,111.58530451660423
Cal Coast Adventures,"Paddleboarding, Active Life, Tours, Hotels & Travel, Surfing, Rafting/Kayaking, Bike Rentals, Fitness & Instruction, Trainers",126.66666666666667,13.333333333333334,92.40491541412673
Third Window Brewing,"Nightlife, Beer Gardens, Breweries, Food, Beer, Wine & Spirits",90.0,10.0,93.39012895843285
Jump On The School Bus,"Wedding Planning, Transportation, Party Bus Rentals, Wineries, Party & Event Planning, Local Flavor, Food, Wine Tours, Arts & Entertainment, Tours, Limos, Event Planning & Services, Hotels & Travel",126.66666666666667,13.333333333333334,120.03666426625668
Wine Edventures,"Hotels & Travel, Wine Tours, Food, Tours, Beer, Wine & Spirits",126.66666666666667,13.333333333333334,125.58096462792481
Segway of Santa Barbara,"Arts & Entertainment, Scooter Rentals, Bike Rentals, Hotels & Travel, Active Life, Local Services, Scooter Tours, Tours",126.66666666666667,13.333333333333334,117.22143439651316
Douglas Family Preserve,"Active Life, Parks",90.0,10.0,106.35193880803196
Wheel Fun Rentals - 24 E Mason St,"Active Life, Shopping, Hotels & Travel, Bikes, Paddleboarding, Local Flavor, Beach Equipment Rentals, Tours, Bike Rentals, Sporting Goods",90.0,10.0,85.40527093828702
Wine Canyon Tours,"Travel Services, Hotels & Travel, Wineries, Tours, Arts & Entertainment, Food, Event Planning & Services, Wine Tours",126.66666666666667,13.333333333333334,127.43681475385586
RockStar Transportation,"Hotels & Travel, Local Services, Taxis, Event Planning & Services, Transportation, Limos, Tours, Party Bus Rentals",126.66666666666667,13.333333333333334,133.11684450040255
Cloud Climbers Jeep Tours,"Tours, Hotels & Travel, Wine Tours",126.66666666666667,13.333333333333334,142.58800343934004
MOXI - The Wolf Museum Of Exploration + Innovation,"Children's Museums, Arts & Entertainment, Event Planning & Services, Venues & Event Spaces, Museums, Art Museums",90.0,10.0,86.39150625631592
India House,"Home & Garden, Home Decor, Restaurants, Shopping, Indian",90.0,10.0,91.15862255714441
Night Lizard Brewing Company,"Food, Breweries, Beer Gardens, Mediterranean, Nightlife, Restaurants",90.0,10.0,95.43489007392766
Movegreen,"Local Services, Shopping, Home Services, Movers, Home & Garden, Self Storage",90.0,10.0,82.3707546565765
Taste Santa Barbara Food Tours,"Food, Local Flavor, Hotels & Travel, Food Tours, Tours, Wine Tours, Walking Tours",126.66666666666667,13.333333333333334,144.09104289918753
Land and Sea Shark Tour,"Hotels & Travel, Tours",126.66666666666667,13.333333333333334,122.44107323282509
Santa Barbara Museum of Natural History,"Arts & Entertainment, Venues & Event Spaces, Public Services & Government, Active Life, Planetarium, Museums, Landmarks & Historical Buildings, Summer Camps, Event Planning & Services",90.0,10.0,77.74390960602281
Grapeline Wine Tours,"Tours, Hotels & Travel, Wineries, Wine Tours, Arts & Entertainment, Food",126.66666666666667,13.333333333333334,120.65161143868399
Santa Barbara Home Improvement Center,"Local Services, Home & Garden, Hardware Stores, Shopping, Knife Sharpening, Nurseries & Gardening, Paint Stores, Kitchen & Bath",90.0,10.0,72.9446516933644
Channel Islands Outfitters,"Whale Watching Tours, Hotels & Travel, Special Education, Specialty Schools, Active Life, Tours, Rafting/Kayaking, Travel Services, Education",126.66666666666667,13.333333333333334,112.62266165149722
Biergarten,"Nightlife, Beer Gardens, Restaurants, Pizza, Hot Dogs",90.0,10.0,102.47179443660123
